filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,3,27,20,0,19,19,6,20,63,60,7227
simphyout/pop_6_n_20_1.newick,3,28,20,0,19,19,6,20,65,64,9366
simphyout/pop_6_n_20_1.newick,3,29,20,0,19,19,6,20,68,63,7265
simphyout/pop_6_n_20_1.newick,3,30,20,0,19,19,6,20,63,62,7539
simphyout/pop_6_n_20_1.newick,3,31,20,0,19,19,6,20,64,60,7215
simphyout/pop_6_n_20_1.newick,3,32,20,0,19,19,6,20,63,61,7935
simphyout/pop_6_n_20_1.newick,3,33,20,0,19,19,6,20,64,101,7679
simphyout/pop_6_n_20_1.newick,3,34,20,0,19,19,6,20,62,59,7554
simphyout/pop_6_n_20_1.newick,3,35,20,0,19,19,6,20,63,58,6840
simphyout/pop_6_n_20_1.newick,3,36,20,0,19,19,6,20,63,58,6763
simphyout/pop_6_n_20_1.newick,3,37,20,0,19,19,6,20,63,60,7163
simphyout/pop_6_n_20_1.newick,3,38,20,0,19,19,6,20,64,63,7288
simphyout/pop_6_n_20_1.newick,3,39,20,0,19,19,6,20,63,59,9319
simphyout/pop_6_n_20_1.newick,3,40,20,0,19,19,6,20,64,60,6998
simphyout/pop_6_n_20_1.newick,3,41,20,0,19,19,6,20,63,59,6619
simphyout/pop_6_n_20_1.newick,3,42,20,0,19,19,6,20,62,59,6696
simphyout/pop_6_n_20_1.newick,3,43,20,0,19,19,6,20,63,61,7463
simphyout/pop_6_n_20_1.newick,3,44,20,0,19,19,6,20,64,61,8897
simphyout/pop_6_n_20_1.newick,3,45,20,0,19,19,6,20,62,59,7237
simphyout/pop_6_n_20_1.newick,3,46,20,0,19,19,6,20,64,60,6892
simphyout/pop_6_n_20_1.newick,3,47,20,0,19,19,6,20,63,61,7066
simphyout/pop_6_n_20_1.newick,3,48,20,0,19,19,6,20,63,60,7387
simphyout/pop_6_n_20_1.newick,3,49,20,0,19,19,6,20,63,63,11089
simphyout/pop_6_n_20_1.newick,4,5,20,0,19,19,6,20,70,60,7163
simphyout/pop_6_n_20_1.newick,4,6,20,0,19,19,6,20,65,60,6511
simphyout/pop_6_n_20_1.newick,4,7,20,0,19,19,6,20,64,60,6527
simphyout/pop_6_n_20_1.newick,4,8,20,0,19,19,6,20,64,61,7430
simphyout/pop_6_n_20_1.newick,4,9,20,0,19,19,6,20,68,59,7799
simphyout/pop_6_n_20_1.newick,4,10,20,0,19,19,6,20,63,60,7788
simphyout/pop_6_n_20_1.newick,4,11,20,0,19,19,6,20,62,58,6895
simphyout/pop_6_n_20_1.newick,4,12,20,0,19,19,6,20,63,59,6976
simphyout/pop_6_n_20_1.newick,4,13,20,0,19,19,6,20,61,65,7185
simphyout/pop_6_n_20_1.newick,4,14,20,0,19,19,6,20,61,60,7449
simphyout/pop_6_n_20_1.newick,4,15,20,0,19,19,6,20,63,64,10427
simphyout/pop_6_n_20_1.newick,4,16,20,0,19,19,6,20,62,60,7445
simphyout/pop_6_n_20_1.newick,4,17,20,0,19,19,6,20,63,59,6948
simphyout/pop_6_n_20_1.newick,4,18,20,0,19,19,6,20,63,59,6858
simphyout/pop_6_n_20_1.newick,4,19,20,0,19,19,6,20,63,63,7347
simphyout/pop_6_n_20_1.newick,4,20,20,0,19,19,6,20,63,66,11117
simphyout/pop_6_n_20_1.newick,4,21,20,0,19,19,6,20,63,64,7298
simphyout/pop_6_n_20_1.newick,4,22,20,0,19,19,6,20,62,67,6997
simphyout/pop_6_n_20_1.newick,4,23,20,0,19,19,6,20,62,61,6639
simphyout/pop_6_n_20_1.newick,4,24,20,0,19,19,6,20,63,63,7411
simphyout/pop_6_n_20_1.newick,4,25,20,0,19,19,6,20,61,61,7348
simphyout/pop_6_n_20_1.newick,4,26,20,0,19,19,6,20,62,63,7863
simphyout/pop_6_n_20_1.newick,4,27,20,0,19,19,6,20,62,64,6785
simphyout/pop_6_n_20_1.newick,4,28,20,0,19,19,6,20,63,60,6745
simphyout/pop_6_n_20_1.newick,4,29,20,0,19,19,6,20,62,63,7359
simphyout/pop_6_n_20_1.newick,4,30,20,0,19,19,6,20,63,65,7671
