filename,tree1,tree2,time,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,algo,pop,n
simphyout/pop_6_n_20_1.newick,5,25,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,26,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,27,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,28,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,29,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,30,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,31,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,32,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,33,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,34,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,35,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,36,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,37,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,38,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,39,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,40,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,41,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,42,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,43,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,44,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,45,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,46,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,47,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,48,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,49,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,7,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,8,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,9,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,10,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,11,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,12,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,13,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,14,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,15,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,16,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,17,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,18,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,19,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,20,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,21,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,22,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,23,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,24,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,25,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,26,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,27,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,28,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,29,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,30,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,31,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,6,32,63,20,0,19,19,fast,6,20
