filename,i,j,incidence_time,total_time
simphyout\pop_8_n_1000_1.newick,30,49,37480262,37831700
simphyout\pop_8_n_1000_1.newick,31,32,35186563,35524731
simphyout\pop_8_n_1000_1.newick,31,33,35830846,36178568
simphyout\pop_8_n_1000_1.newick,31,34,35672302,36024978
simphyout\pop_8_n_1000_1.newick,31,35,34759919,35097549
simphyout\pop_8_n_1000_1.newick,31,36,34941896,35316279
simphyout\pop_8_n_1000_1.newick,31,37,34305055,34623423
simphyout\pop_8_n_1000_1.newick,31,38,36228145,36591500
simphyout\pop_8_n_1000_1.newick,31,39,36841096,37171415
simphyout\pop_8_n_1000_1.newick,31,40,34373563,34715351
simphyout\pop_8_n_1000_1.newick,31,41,35028419,35388857
simphyout\pop_8_n_1000_1.newick,31,42,36516655,36864580
simphyout\pop_8_n_1000_1.newick,31,43,34336790,34629063
simphyout\pop_8_n_1000_1.newick,31,44,34913063,35270020
simphyout\pop_8_n_1000_1.newick,31,45,33725292,34071892
simphyout\pop_8_n_1000_1.newick,31,46,35426505,35752579
simphyout\pop_8_n_1000_1.newick,31,47,38113947,38425878
simphyout\pop_8_n_1000_1.newick,31,48,35737210,36097325
simphyout\pop_8_n_1000_1.newick,31,49,35680017,35991148
simphyout\pop_8_n_1000_1.newick,32,33,34206476,34520097
simphyout\pop_8_n_1000_1.newick,32,34,34094179,34457094
simphyout\pop_8_n_1000_1.newick,32,35,34630789,34977578
simphyout\pop_8_n_1000_1.newick,32,36,33996080,34311855
simphyout\pop_8_n_1000_1.newick,32,37,36962619,37285278
simphyout\pop_8_n_1000_1.newick,32,38,35707423,36033318
simphyout\pop_8_n_1000_1.newick,32,39,36177138,36507023
simphyout\pop_8_n_1000_1.newick,32,40,35075228,35397625
simphyout\pop_8_n_1000_1.newick,32,41,34268987,34640360
simphyout\pop_8_n_1000_1.newick,32,42,34608949,34977922
simphyout\pop_8_n_1000_1.newick,32,43,35118072,35516704
simphyout\pop_8_n_1000_1.newick,32,44,37052745,37396177
simphyout\pop_8_n_1000_1.newick,32,45,35589586,35933422
simphyout\pop_8_n_1000_1.newick,32,46,33025576,33396014
simphyout\pop_8_n_1000_1.newick,32,47,33905184,34260775
simphyout\pop_8_n_1000_1.newick,32,48,35551346,35901301
simphyout\pop_8_n_1000_1.newick,32,49,34785673,35147581
simphyout\pop_8_n_1000_1.newick,33,34,36278318,36623159
simphyout\pop_8_n_1000_1.newick,33,35,37454490,37811541
simphyout\pop_8_n_1000_1.newick,33,36,36770978,37134084
simphyout\pop_8_n_1000_1.newick,33,37,36314085,36669174
simphyout\pop_8_n_1000_1.newick,33,38,34808382,35156891
simphyout\pop_8_n_1000_1.newick,33,39,37343743,37706977
simphyout\pop_8_n_1000_1.newick,33,40,35546430,35865518
simphyout\pop_8_n_1000_1.newick,33,41,37651020,38028297
simphyout\pop_8_n_1000_1.newick,33,42,40815254,41221218
simphyout\pop_8_n_1000_1.newick,33,43,35123647,35502491
simphyout\pop_8_n_1000_1.newick,33,44,36285308,36627276
simphyout\pop_8_n_1000_1.newick,33,45,38115499,38414286
simphyout\pop_8_n_1000_1.newick,33,46,33792790,34158210
simphyout\pop_8_n_1000_1.newick,33,47,36027208,36387239
simphyout\pop_8_n_1000_1.newick,33,48,34259849,34615119
simphyout\pop_8_n_1000_1.newick,33,49,36732464,37099479
simphyout\pop_8_n_1000_1.newick,34,35,35657947,36006464
simphyout\pop_8_n_1000_1.newick,34,36,35814703,36155880
simphyout\pop_8_n_1000_1.newick,34,37,35897888,36210186
